datetime,temp,dew,humidity,precip,windspeed,conditions
2023-12-19,14.8,9.0,68.5,0.02,13.2,"Rain, Partially cloudy"
2023-12-20,14.6,9.3,72.1,4.06,27.4,"Rain, Partially cloudy"
2023-12-21,11.9,11.0,94.5,6.284,22.4,"Rain, Overcast"
2023-12-22,11.8,10.5,91.8,1.912,26.7,"Rain, Partially cloudy"
2023-12-23,11.0,9.3,89.5,0.0,12.7,Partially cloudy
2023-12-24,11.8,8.5,80.4,0.002,13.0,"Rain, Overcast"
2023-12-25,11.1,6.9,76.7,0.0,12.7,Partially cloudy
2023-12-26,11.2,7.1,77.1,0.0,11.2,Clear
2023-12-27,12.0,7.5,75.8,0.0,18.3,Clear
2023-12-28,13.4,4.2,58.3,0.0,14.7,Clear
2023-12-29,14.9,3.4,48.8,0.0,24.0,Clear
2023-12-30,12.2,8.4,78.4,4.412,27.4,"Rain, Partially cloudy"
2023-12-31,9.9,6.6,80.4,0.0,14.8,Clear
2024-01-01,8.9,6.9,87.2,0.0,14.7,Partially cloudy
2024-01-02,6.9,5.9,93.6,0.0,9.3,Partially cloudy
2024-01-03,9.7,6.9,83.7,4.074,22.2,"Rain, Partially cloudy"
2024-01-04,8.5,5.7,83.1,0.005,13.1,"Rain, Partially cloudy"
2024-01-05,8.0,3.8,76.1,0.0,12.7,Clear
2024-01-06,7.7,3.8,77.2,0.837,18.7,"Rain, Partially cloudy"
2024-01-07,6.3,2.1,75.4,0.015,24.0,"Rain, Partially cloudy"
2024-01-08,6.1,-0.5,64.3,0.0,11.2,Clear
2024-01-09,6.4,-0.5,63.4,0.0,14.9,Clear
2024-01-10,8.1,2.9,69.8,0.004,11.2,"Rain, Partially cloudy"
2024-01-11,7.2,1.5,69.1,1.567,35.4,Rain
2024-01-12,5.8,-0.6,65.5,0.0,15.0,Clear
2024-01-13,6.7,1.4,70.8,0.003,22.5,Rain
2024-01-14,9.6,3.4,66.8,0.0,11.5,Partially cloudy
2024-01-15,9.7,5.8,78.0,0.0,13.0,Clear
2024-01-16,8.7,7.1,90.5,0.0,11.3,Partially cloudy
2024-01-17,11.3,9.3,87.6,1.814,14.8,"Rain, Overcast"
2024-01-18,11.4,8.5,83.7,0.0,15.1,Partially cloudy
2024-01-19,13.0,8.7,77.1,0.0,18.5,Clear
2024-01-20,13.5,9.6,78.2,2.477,16.5,"Rain, Partially cloudy"
2024-01-21,14.1,9.9,77.8,2.025,11.2,"Rain, Partially cloudy"
2024-01-22,13.2,10.5,84.0,18.018,20.3,"Rain, Overcast"
2024-01-23,12.3,10.9,91.2,5.652,18.5,"Rain, Partially cloudy"
2024-01-24,12.3,10.5,88.4,3.55,16.5,"Rain, Partially cloudy"
2024-01-25,12.6,10.2,86.1,0.008,18.5,"Rain, Partially cloudy"
2024-01-26,11.8,8.2,79.4,0.0,22.8,Clear
2024-01-27,13.3,9.5,78.4,0.0,13.1,Clear
2024-01-28,13.6,10.5,82.4,0.0,16.7,Clear
2024-01-29,15.2,10.2,75.3,0.0,15.0,Clear
2024-01-30,15.7,9.4,68.4,0.0,12.7,Clear
2024-01-31,17.3,5.5,50.9,0.0,49.6,Clear
2024-02-01,13.7,7.8,70.1,17.323,40.7,"Rain, Partially cloudy"
2024-02-02,11.0,7.5,80.3,2.681,13.2,"Rain, Partially cloudy"
2024-02-03,10.9,6.5,75.7,1.077,9.7,"Rain, Partially cloudy"
2024-02-04,14.7,6.3,58.6,1.573,58.7,"Rain, Partially cloudy"
2024-02-05,13.5,10.4,82.2,1.443,16.6,"Rain, Partially cloudy"
2024-02-06,10.7,7.6,81.8,8.646,20.3,"Rain, Overcast"
2024-02-07,10.0,6.4,79.4,8.322,27.6,"Rain, Overcast"
2024-02-08,8.2,3.5,73.0,0.002,11.5,"Rain, Partially cloudy"
2024-02-09,7.7,3.7,76.7,0.0,13.1,Partially cloudy
2024-02-10,8.7,3.9,73.0,0.0,11.2,Partially cloudy
2024-02-11,9.7,3.3,67.0,0.0,11.2,Clear
2024-02-12,10.6,4.4,66.9,0.0,12.8,Clear
2024-02-13,10.4,5.5,72.8,0.0,13.2,Clear
2024-02-14,11.8,6.6,71.2,0.0,18.3,Clear
2024-02-15,12.4,8.4,76.8,2.019,13.3,"Rain, Partially cloudy"
2024-02-16,11.8,7.4,75.8,0.0,11.1,Clear
2024-02-17,13.0,8.8,77.1,4.08,27.3,"Rain, Partially cloudy"
